char,codepoint,name,block
𒀀,U+12000,CUNEIFORM SIGN A,Cuneiform
𒀁,U+12001,CUNEIFORM SIGN A TIMES A,Cuneiform
𒀂,U+12002,CUNEIFORM SIGN A TIMES BAD,Cuneiform
𒀃,U+12003,CUNEIFORM SIGN A TIMES GAN2 TENU,Cuneiform
𒀄,U+12004,CUNEIFORM SIGN A TIMES HA,Cuneiform
𒀅,U+12005,CUNEIFORM SIGN A TIMES IGI,Cuneiform
𒀆,U+12006,CUNEIFORM SIGN A TIMES LAGAR GUNU,Cuneiform
𒀇,U+12007,CUNEIFORM SIGN A TIMES MUSH,Cuneiform
𒀈,U+12008,CUNEIFORM SIGN A TIMES SAG,Cuneiform
𒀉,U+12009,CUNEIFORM SIGN A2,Cuneiform
𒀊,U+1200A,CUNEIFORM SIGN AB,Cuneiform
𒀋,U+1200B,CUNEIFORM SIGN AB TIMES ASH2,Cuneiform
𒀌,U+1200C,CUNEIFORM SIGN AB TIMES DUN3 GUNU,Cuneiform
𒀍,U+1200D,CUNEIFORM SIGN AB TIMES GAL,Cuneiform
𒀎,U+1200E,CUNEIFORM SIGN AB TIMES GAN2 TENU,Cuneiform
𒀏,U+1200F,CUNEIFORM SIGN AB TIMES HA,Cuneiform
𒀐,U+12010,CUNEIFORM SIGN AB TIMES IGI GUNU,Cuneiform
𒀑,U+12011,CUNEIFORM SIGN AB TIMES IMIN,Cuneiform
𒀒,U+12012,CUNEIFORM SIGN AB TIMES LAGAB,Cuneiform
𒀓,U+12013,CUNEIFORM SIGN AB TIMES SHESH,Cuneiform
𒀔,U+12014,CUNEIFORM SIGN AB TIMES U PLUS U PLUS U,Cuneiform
𒀕,U+12015,CUNEIFORM SIGN AB GUNU,Cuneiform
𒀖,U+12016,CUNEIFORM SIGN AB2,Cuneiform
𒀗,U+12017,CUNEIFORM SIGN AB2 TIMES BALAG,Cuneiform
𒀘,U+12018,CUNEIFORM SIGN AB2 TIMES GAN2 TENU,Cuneiform
𒀙,U+12019,CUNEIFORM SIGN AB2 TIMES ME PLUS EN,Cuneiform
𒀚,U+1201A,CUNEIFORM SIGN AB2 TIMES SHA3,Cuneiform
𒀛,U+1201B,CUNEIFORM SIGN AB2 TIMES TAK4,Cuneiform
𒀜,U+1201C,CUNEIFORM SIGN AD,Cuneiform
𒀝,U+1201D,CUNEIFORM SIGN AK,Cuneiform
𒀞,U+1201E,CUNEIFORM SIGN AK TIMES ERIN2,Cuneiform
𒀟,U+1201F,CUNEIFORM SIGN AK TIMES SHITA PLUS GISH,Cuneiform
𒀠,U+12020,CUNEIFORM SIGN AL,Cuneiform
𒀡,U+12021,CUNEIFORM SIGN AL TIMES AL,Cuneiform
𒀢,U+12022,CUNEIFORM SIGN AL TIMES DIM2,Cuneiform
𒀣,U+12023,CUNEIFORM SIGN AL TIMES GISH,Cuneiform
𒀤,U+12024,CUNEIFORM SIGN AL TIMES HA,Cuneiform
𒀥,U+12025,CUNEIFORM SIGN AL TIMES KAD3,Cuneiform
𒀦,U+12026,CUNEIFORM SIGN AL TIMES KI,Cuneiform
𒀧,U+12027,CUNEIFORM SIGN AL TIMES SHE,Cuneiform
𒀨,U+12028,CUNEIFORM SIGN AL TIMES USH,Cuneiform
𒀩,U+12029,CUNEIFORM SIGN ALAN,Cuneiform
𒀪,U+1202A,CUNEIFORM SIGN ALEPH,Cuneiform
𒀫,U+1202B,CUNEIFORM SIGN AMAR,Cuneiform
𒀬,U+1202C,CUNEIFORM SIGN AMAR TIMES SHE,Cuneiform
𒀭,U+1202D,CUNEIFORM SIGN AN,Cuneiform
𒀮,U+1202E,CUNEIFORM SIGN AN OVER AN,Cuneiform
𒀯,U+1202F,CUNEIFORM SIGN AN THREE TIMES,Cuneiform
𒀰,U+12030,CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA,Cuneiform
𒀱,U+12031,CUNEIFORM SIGN AN PLUS NAGA SQUARED,Cuneiform
𒀲,U+12032,CUNEIFORM SIGN ANSHE,Cuneiform
𒀳,U+12033,CUNEIFORM SIGN APIN,Cuneiform
𒀴,U+12034,CUNEIFORM SIGN ARAD,Cuneiform
𒀵,U+12035,CUNEIFORM SIGN ARAD TIMES KUR,Cuneiform
𒀶,U+12036,CUNEIFORM SIGN ARKAB,Cuneiform
𒀷,U+12037,CUNEIFORM SIGN ASAL2,Cuneiform
𒀸,U+12038,CUNEIFORM SIGN ASH,Cuneiform
𒀹,U+12039,CUNEIFORM SIGN ASH ZIDA TENU,Cuneiform
𒀺,U+1203A,CUNEIFORM SIGN ASH KABA TENU,Cuneiform
𒀻,U+1203B,CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,Cuneiform
𒀼,U+1203C,CUNEIFORM SIGN ASH OVER ASH OVER ASH,Cuneiform
𒀽,U+1203D,CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,Cuneiform
𒀾,U+1203E,CUNEIFORM SIGN ASH2,Cuneiform
𒀿,U+1203F,CUNEIFORM SIGN ASHGAB,Cuneiform
𒁀,U+12040,CUNEIFORM SIGN BA,Cuneiform
𒁁,U+12041,CUNEIFORM SIGN BAD,Cuneiform
𒁂,U+12042,CUNEIFORM SIGN BAG3,Cuneiform
𒁃,U+12043,CUNEIFORM SIGN BAHAR2,Cuneiform
𒁄,U+12044,CUNEIFORM SIGN BAL,Cuneiform
𒁅,U+12045,CUNEIFORM SIGN BAL OVER BAL,Cuneiform
𒁆,U+12046,CUNEIFORM SIGN BALAG,Cuneiform
𒁇,U+12047,CUNEIFORM SIGN BAR,Cuneiform
𒁈,U+12048,CUNEIFORM SIGN BARA2,Cuneiform
𒁉,U+12049,CUNEIFORM SIGN BI,Cuneiform
𒁊,U+1204A,CUNEIFORM SIGN BI TIMES A,Cuneiform
𒁋,U+1204B,CUNEIFORM SIGN BI TIMES GAR,Cuneiform
𒁌,U+1204C,CUNEIFORM SIGN BI TIMES IGI GUNU,Cuneiform
𒁍,U+1204D,CUNEIFORM SIGN BU,Cuneiform
𒁎,U+1204E,CUNEIFORM SIGN BU OVER BU AB,Cuneiform
𒁏,U+1204F,CUNEIFORM SIGN BU OVER BU UN,Cuneiform
𒁐,U+12050,CUNEIFORM SIGN BU CROSSING BU,Cuneiform
𒁑,U+12051,CUNEIFORM SIGN BULUG,Cuneiform
𒁒,U+12052,CUNEIFORM SIGN BULUG OVER BULUG,Cuneiform
𒁓,U+12053,CUNEIFORM SIGN BUR,Cuneiform
